Operation,NumSamples,CycleCount,NumThreads
atomic,1000000,40,1
semaphor,1000000,831,1
mutex,1000000,71,1
spinlock,1000000,48,1
vanila,1000000,17,1
atomic,1000000,137,2
semaphor,1000000,1083,2
mutex,1000000,178,2
spinlock,1000000,123,2
vanila,1000000,23,2
atomic,1000000,245,4
semaphor,1000000,2425,4
mutex,1000000,299,4
spinlock,1000000,316,4
vanila,1000000,44,4
atomic,1000000,469,8
semaphor,1000000,6127,8
mutex,1000000,349,8
spinlock,1000000,369,8
vanila,1000000,74,8
atomic,1000000,940,16
semaphor,1000000,11595,16
mutex,1000000,680,16
spinlock,1000000,742,16
vanila,1000000,131,16
atomic,1000000,1696,32
semaphor,1000000,22716,32
mutex,1000000,1440,32
spinlock,1000000,1447,32
vanila,1000000,301,32

Finished!
